,Show,Date,Doors,Location,Address,Link
98,Peter Hook & The Light,"Fri, August 26, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/415562-peter-hook-the-light
99,The Shins,"Fri, August 26, 2022 at 08:00 PM",07:00 PM,Skyline Stage @ the Mann,"52nd and Parkside Ave. Fairmount Park, Philadelphia, PA 19131",https://www.bowerypresents.com/greater-philly/shows/detail/434246-the-shins
100,Los Campesinos!,"Sat, August 27, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/432518-los-campesinos
101,James Austin Johnson,"Sat, August 27, 2022 at 09:00 PM",10:49 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/430237-james-austin-johnson
102,At the Gates,"Sun, August 28, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/432510-at-the-gates
103,Rammstein,"Wed, August 31, 2022 at 07:00 PM",10:49 PM,Lincoln Financial Field,"One Lincoln Financial Field Way, Philadelphia, PA 19147",https://www.bowerypresents.com/greater-philly/shows/detail/390976-rammstein
104,Boris & Nothing,"Thu, September 01, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/434829-boris-nothing
105,Arlo Parks,"Tue, September 06, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/430244-arlo-parks
106,Steven Wright,"Thu, September 08, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/412177-steven-wright
107,Karol G,"Thu, September 08, 2022 at 08:00 PM",07:00 PM,Wells Fargo Center,"3601 S Broad St, Philadelphia, PA 19148",https://www.bowerypresents.com/greater-philly/shows/detail/432264-karol-g
